"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"FID1,FID4";"Fiducial1x3_Paste";2;"Fiducial";;;
2;"LED1";"LED_0603_KA";1;"LED/GREEN/0603";;;
3;"FID3,FID2,FID6,FID5";"Fiducial1x3";4;"Fiducial";;;
4;"D1";"SMA-KA";1;"1N5822/SS34/SMA";;;
5;"R18,R17,R15";"R_0402_5MIL_DWS";3;"2.2k/R0402";;;
6;"RST1,BOOT1";"YTS-A016-X";2;"YTS-A016-X";;;
7;"R5,R10";"R_0402_5MIL_DWS";2;"5.1k/1%/R0402";;;
8;"R12";"R_0402_5MIL_DWS";1;"1M/R0402";;;
9;"pUEXT1";"BM10B-SRSS-TB";1;"SH1.0-10P-180D";;;
10;"USB-C1";"USB2.0_TYPE-C(A40-00119-A52-12)_Paste";1;"USB-C-16P-F(A40-00119-A52-12)";;;
11;"R13";"R_0402_5MIL_DWS";1;"220k/R0402";;;
12;"C14,C18,C19,C16,C13";"C_0402_5MIL_DWS";5;"4.7uF/10V/20%/X5R/C0402";;;
13;"SWD1";"HN1x3";1;"NA(NH1x3)";;;
14;"L1";"L_2016_MM";1;"3.3uH/2.0A/DCR=140mR/20%/2.00x1.60x1.00mm/L2016(PIM201610-3R3MTS00)";;;
15;"R2,R20,R16,R23,R21,R22,R19";"R_0402_5MIL_DWS";7;"NA(10k/R0402)";;;
16;"Q1";"TSX-3.2x2.5mm_GND(3)";1;"Q12MHz/18pF/30ppm/4P/3.2x2.5mm(ABM8-12.000MHZ-D2Y-T)";;;
17;"C21,C20";"C_0402_5MIL_DWS";2;"27pF/50V/5%/C0G/C0402";;;
18;"FB1";"L_0402_5MIL_DWS";1;"PZ1005U601-R45TF/0.34OHM/0.45A";;;
19;"C22,C24";"C_0603_5MIL_DWS";2;"22uF/6.3V/20%/X5R/C0603";;;
20;"C2,C26";"C_0402_5MIL_DWS";2;"NA(100nF/10V/20%/X5R/C0402)";;;
21;"U3";"QFN-80_10.00x10.00x0.90mm_P0.4mm";1;"RP2350B(QFN-80_10.00x10.00x0.90mm_P0.4mm)";;;
22;"L2";"L_2016_MM";1;"1.0uH/4.2A/DCR=35mR/20%/2.00x1.60x1.00mm/L2016(PIM201610-1R0MTS00)";;;
23;"U2";"SOT-563-6";1;"TPS62A02ADRLR(SOT-563-6)";;;
24;"R3";"R_0402_5MIL_DWS";1;"33R/R0402";;;
25;"R11,R9";"R_0402_5MIL_DWS";2;"1k/R0402";;;
26;"R1";"R_0402_5MIL_DWS";1;"10k/R0402";;;
27;"C1,C6,C5,C10,C4,C17,C9,C11,C3,C8,C12,C7,C15";"C_0402_5MIL_DWS";13;"100nF/10V/20%/X5R/C0402";;;
28;"U1";"SO-8_208mil";1;"W25Q16JVSSIQ";;;
29;"C25";"C_0603_5MIL_DWS";1;"NA(22uF/6.3V/20%/X5R/C0603)";;;
30;"R14";"R_0402_5MIL_DWS";1;"49.9k/1%/R0402";;;
31;"QWST1";"BM04B-SRSS-TB";1;"SH1.0-4P-180D";;;
32;"R7,R6";"R_0402_5MIL_DWS";2;"27R/R0402";;;
33;"U4";"SO-8_208mil";1;"NA(W25Q128JVSIQ(SOIC-8_208mils))";;;
34;"U5";"SO-8";1;"NA(APS6404L-3SQR-SN(SOIC-8_150mils))";;;
35;"R25,R24,R26";"R_0402_5MIL_DWS";3;"NA(33R/R0402)";;;
36;"EXT2,EXT1";"HN1x27";2;"HN1x27";;;
37;"L3";"L_0805_5MIL_DWS";1;"NA(600OHM/2A/UPZ2012E-601-2R0TF/0805)";;;
38;"R27";"R_0402_5MIL_DWS";1;"NA";;;
39;"C27";"C_0805_5MIL_DWS";1;"NA(47uF/6.3V/20%/X5R/C0805)";;;
40;"MICRO_SD1";"uSD(TFC-9P-1.xH(ATFFS150A01BR016))";1;"NA(TFC-9P-1.7H(ATFFS150A01BR016))";;;
